paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_11,-2.931,0.618,-4.741,0,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-1.208,0.24,-5.029,0,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-0.747,0.334,-2.234,0.025,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-0.951,0.241,-3.956,0,Categorical.Latent.Variables
New.Additional.Parameters,G_212,-8.354,0.659,-12.669,0,Categorical.Latent.Variables
New.Additional.Parameters,G_213,-6.93,0.685,-10.111,0,Categorical.Latent.Variables
New.Additional.Parameters,G_234,1.414,0.357,3.957,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3123,18.284,0.784,23.309,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3124,10.788,0.662,16.306,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,7.854,0.698,11.249,0,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-16.702,1.042,-16.027,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.252,0.145,-8.661,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.111,0.189,11.151,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.596,0.132,4.52,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.218,0.242,5.028,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-1.945,0.176,-11.041,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.673,0.208,8.052,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.26,0.12,-10.52,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.697,0.184,3.78,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.785,0.154,-11.623,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.512,0.197,7.669,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.787,0.429,-8.828,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.177,0.462,4.71,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.778,0.097,-8.044,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.118,0.199,5.63,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.733,0.311,-2.358,0.018,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,4.553,0.681,6.685,0,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.154,0.189,-0.816,0.414,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.24,0.232,9.676,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_0,0.306,0.13,2.347,0.019,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.814,0.177,4.597,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-0.994,0.166,-5.979,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.717,0.211,8.149,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_0,-1.239,0.107,-11.58,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_11,0.676,0.184,3.68,0,Categorical.Latent.Variables
