paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_0,-0.115,0.178,-0.646,0.518,Categorical.Latent.Variables
New.Additional.Parameters,G_11,-3.487,1.582,-2.205,0.027,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-2.924,1.172,-2.495,0.013,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-1.285,0.349,-3.679,0,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-1.243,0.13,-9.565,0,Categorical.Latent.Variables
New.Additional.Parameters,G_212,-2.958,0.038,-77.822,0,Categorical.Latent.Variables
New.Additional.Parameters,G_213,-8.156,3.619,-2.253,0.024,Categorical.Latent.Variables
New.Additional.Parameters,G_214,-5.242,3.573,-1.467,0.142,Categorical.Latent.Variables
New.Additional.Parameters,G_223,2.464,1.44,1.71,0.087,Categorical.Latent.Variables
New.Additional.Parameters,G_224,2.312,1.345,1.719,0.086,Categorical.Latent.Variables
New.Additional.Parameters,G_234,1.705,0.344,4.964,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3123,13.914,3.705,3.755,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3124,10.38,3.596,2.886,0.004,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,14.938,0.123,121.597,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3234,-1.645,1.62,-1.016,0.31,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-18.659,1.671,-11.168,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.11,0.029,-38.203,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.188,0.127,17.257,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.586,0.153,3.828,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.274,0.061,20.826,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-1.962,0.063,-31.138,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.65,0.031,52.996,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.202,14.554,-0.083,0.934,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.671,0.424,1.582,0.114,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.653,14.31,-0.115,0.908,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.474,0.283,5.202,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.845,0.261,-14.736,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.204,0.231,9.53,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.762,0.402,-1.895,0.058,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.3,0.381,3.412,0.001,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.621,0.106,-5.834,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,4.322,0.114,37.911,0,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.089,0.1,-0.893,0.372,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.162,0.135,15.988,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_0,0.301,0.022,13.436,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.84,0.037,22.802,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-1.034,0.143,-7.209,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.81,0.187,9.694,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_0,-1.231,0.099,-12.5,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_11,0.776,0.107,7.269,0,Categorical.Latent.Variables
New.Additional.Parameters,L13_0,-0.506,0.167,-3.02,0.003,Categorical.Latent.Variables
New.Additional.Parameters,L13_14,4.888,2.001,2.443,0.015,Categorical.Latent.Variables
New.Additional.Parameters,L14_0,-4.032,0.565,-7.134,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_11,1.329,0.108,12.344,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_14,4.277,0.636,6.721,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_0,-4.918,0.433,-11.348,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_11,1.155,0.101,11.408,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_14,4.672,0.463,10.095,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_0,-0.871,0.06,-14.585,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_11,1.231,0.117,10.504,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_0,-1.369,0.1,-13.744,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_11,2.077,0.116,17.883,0,Categorical.Latent.Variables
