paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_0,0.099,0.234,0.424,0.671,Categorical.Latent.Variables
New.Additional.Parameters,G_11,-14.176,0.448,-31.639,0,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-2.017,0.606,-3.327,0.001,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-2.18,0.974,-2.238,0.025,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-0.992,0.288,-3.443,0.001,Categorical.Latent.Variables
New.Additional.Parameters,G_212,13.322,1.011,13.177,0,Categorical.Latent.Variables
New.Additional.Parameters,G_213,2.3,1.165,1.974,0.048,Categorical.Latent.Variables
New.Additional.Parameters,G_214,0.914,0.906,1.008,0.313,Categorical.Latent.Variables
New.Additional.Parameters,G_223,3.103,1.274,2.436,0.015,Categorical.Latent.Variables
New.Additional.Parameters,G_224,1.188,0.804,1.477,0.14,Categorical.Latent.Variables
New.Additional.Parameters,G_234,2.397,0.952,2.518,0.012,Categorical.Latent.Variables
New.Additional.Parameters,G_3123,-1.67,1.43,-1.167,0.243,Categorical.Latent.Variables
New.Additional.Parameters,G_3124,-2.37,3.242,-0.731,0.465,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,9.534,1.283,7.429,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3234,-2.149,1.496,-1.437,0.151,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-7.302,3.467,-2.106,0.035,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.093,0.122,-8.945,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.219,0.209,10.604,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.591,0.129,4.596,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.334,0.223,5.994,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-2.208,0.32,-6.894,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.917,0.396,4.836,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.184,0.107,-11.087,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.64,0.187,3.412,0.001,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.757,0.196,-8.961,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.575,0.242,6.51,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_14,0.248,0.342,0.723,0.47,Categorical.Latent.Variables
New.Additional.Parameters,L5_214,-0.233,0.342,-0.68,0.496,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.933,0.709,-5.545,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.248,0.791,2.842,0.004,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.704,0.088,-7.962,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.164,0.24,4.844,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.628,0.246,-2.553,0.011,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,4.265,0.642,6.642,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_14,0.52,0.455,1.142,0.254,Categorical.Latent.Variables
New.Additional.Parameters,L8_234,-0.519,0.455,-1.141,0.254,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.019,0.178,-0.108,0.914,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.13,0.248,8.586,0,Categorical.Latent.Variables
