paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_11,-5.107,0.015,-337.712,0,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-2.098,0.041,-51.698,0,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-1.541,0.046,-33.701,0,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-1.063,0.055,-19.312,0,Categorical.Latent.Variables
New.Additional.Parameters,G_212,3.44,0.013,259.401,0,Categorical.Latent.Variables
New.Additional.Parameters,G_213,0.526,0.016,33.775,0,Categorical.Latent.Variables
New.Additional.Parameters,G_223,2.226,0.02,110.446,0,Categorical.Latent.Variables
New.Additional.Parameters,G_234,1.887,0.017,113.407,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,2.405,0.03,80.219,0,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-0.485,0.03,-16.228,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.113,0.106,-10.501,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.195,0.202,10.879,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.552,0.127,4.361,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.301,0.201,6.472,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-1.978,0.169,-11.677,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.65,0.208,7.916,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.2,0.104,-11.57,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.664,0.185,3.591,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.643,0.123,-13.409,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.452,0.194,7.486,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.844,0.427,-8.996,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.183,0.468,4.662,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.748,0.09,-8.316,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.258,0.19,6.607,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.571,0.143,-3.985,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,3.631,0.343,10.579,0,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.066,0.128,-0.514,0.607,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.018,0.209,9.644,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_0,0.286,0.127,2.257,0.024,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.843,0.178,4.734,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-1.117,0.156,-7.158,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.888,0.201,9.389,0,Categorical.Latent.Variables
