paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_11,-6.854,2.278,-3.009,0.003,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-1.797,0.337,-5.334,0,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-1.555,0.369,-4.214,0,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-0.907,0.284,-3.194,0.001,Categorical.Latent.Variables
New.Additional.Parameters,G_212,5.557,2.237,2.484,0.013,Categorical.Latent.Variables
New.Additional.Parameters,G_213,0.359,0.931,0.386,0.7,Categorical.Latent.Variables
New.Additional.Parameters,G_223,2.025,0.416,4.867,0,Categorical.Latent.Variables
New.Additional.Parameters,G_234,1.809,0.379,4.769,0,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,4.732,2.385,1.984,0.047,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-3.182,2.337,-1.362,0.173,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.097,0.134,-8.197,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.204,0.204,10.824,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.562,0.136,4.136,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.296,0.212,6.123,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-2.026,0.202,-10.016,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.687,0.227,7.444,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.199,0.109,-11.018,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.675,0.188,3.591,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.62,0.14,-11.582,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.426,0.197,7.226,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.801,0.455,-8.349,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.11,0.486,4.345,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.738,0.089,-8.294,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.255,0.233,5.379,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.587,0.238,-2.47,0.014,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,3.829,0.514,7.454,0,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.082,0.172,-0.48,0.631,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.087,0.246,8.468,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_0,0.278,0.132,2.103,0.035,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.865,0.18,4.815,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-1.088,0.171,-6.352,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.862,0.209,8.912,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_0,-1.239,0.101,-12.275,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_11,0.81,0.193,4.198,0,Categorical.Latent.Variables
New.Additional.Parameters,L13_0,-0.582,0.212,-2.75,0.006,Categorical.Latent.Variables
New.Additional.Parameters,L13_11,0.886,0.624,1.42,0.156,Categorical.Latent.Variables
New.Additional.Parameters,L13_14,4.467,0.564,7.925,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_0,-4.007,0.805,-4.975,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_11,1.493,0.323,4.628,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_14,4.206,0.812,5.181,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_0,-4.742,0.89,-5.328,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_11,0,0,100,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_14,4.438,0.911,4.873,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_214,1.323,0.279,4.74,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_0,-0.862,0.095,-9.029,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_11,1.229,0.183,6.725,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_0,-1.326,0.114,-11.618,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_11,2.006,0.225,8.907,0,Categorical.Latent.Variables
New.Additional.Parameters,L18_0,-0.243,0.066,-3.653,0,Categorical.Latent.Variables
New.Additional.Parameters,L19_0,-1.517,0.083,-18.178,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_0,-2.493,0.285,-8.745,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_12,2.692,0.259,10.399,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_14,1.22,0.279,4.381,0,Categorical.Latent.Variables
New.Additional.Parameters,L21_0,-0.461,0.161,-2.87,0.004,Categorical.Latent.Variables
New.Additional.Parameters,L21_12,2.869,0.286,10.023,0,Categorical.Latent.Variables
New.Additional.Parameters,L22_0,-0.554,0.183,-3.031,0.002,Categorical.Latent.Variables
New.Additional.Parameters,L22_12,2.728,0.333,8.184,0,Categorical.Latent.Variables
New.Additional.Parameters,L22_14,0.515,0.269,1.915,0.056,Categorical.Latent.Variables
New.Additional.Parameters,L23_0,-0.885,0.097,-9.108,0,Categorical.Latent.Variables
New.Additional.Parameters,L23_11,1.647,0.253,6.52,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_0,-2.043,0.222,-9.217,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_12,1.359,0.331,4.112,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_212,1.039,0.273,3.807,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_0,-0.993,0.136,-7.309,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_12,1.769,0.184,9.615,0,Categorical.Latent.Variables
New.Additional.Parameters,L26_0,-2.491,0.123,-20.309,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_0,-1.468,0.128,-11.46,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_11,1.628,0.189,8.598,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_0,-1.236,0.152,-8.11,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_11,1.363,0.295,4.617,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_12,1.542,0.253,6.1,0,Categorical.Latent.Variables
