paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,G_11,-10.058,0.425,-23.658,0,Categorical.Latent.Variables
New.Additional.Parameters,G_12,-1.648,0.343,-4.811,0,Categorical.Latent.Variables
New.Additional.Parameters,G_13,-1.401,0.373,-3.753,0,Categorical.Latent.Variables
New.Additional.Parameters,G_14,-0.837,0.284,-2.948,0.003,Categorical.Latent.Variables
New.Additional.Parameters,G_212,8.751,0.518,16.893,0,Categorical.Latent.Variables
New.Additional.Parameters,G_213,1.534,0.785,1.955,0.051,Categorical.Latent.Variables
New.Additional.Parameters,G_223,1.868,0.455,4.104,0,Categorical.Latent.Variables
New.Additional.Parameters,G_234,1.51,0.445,3.392,0.001,Categorical.Latent.Variables
New.Additional.Parameters,G_3134,7.148,0.874,8.178,0,Categorical.Latent.Variables
New.Additional.Parameters,G_41234,-6.977,0.677,-10.304,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_0,-1.099,0.119,-9.203,0,Categorical.Latent.Variables
New.Additional.Parameters,L1_11,2.222,0.214,10.366,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_0,0.574,0.134,4.269,0,Categorical.Latent.Variables
New.Additional.Parameters,L2_13,1.301,0.222,5.851,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_0,-2.168,0.277,-7.832,0,Categorical.Latent.Variables
New.Additional.Parameters,L3_12,1.895,0.329,5.76,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_0,-1.185,0.108,-10.973,0,Categorical.Latent.Variables
New.Additional.Parameters,L4_11,0.639,0.191,3.353,0.001,Categorical.Latent.Variables
New.Additional.Parameters,L5_0,-1.769,0.187,-9.451,0,Categorical.Latent.Variables
New.Additional.Parameters,L5_11,1.51,0.653,2.313,0.021,Categorical.Latent.Variables
New.Additional.Parameters,L5_14,0.273,0.308,0.888,0.375,Categorical.Latent.Variables
New.Additional.Parameters,L5_214,-0.157,0.884,-0.178,0.859,Categorical.Latent.Variables
New.Additional.Parameters,L6_0,-3.896,0.674,-5.78,0,Categorical.Latent.Variables
New.Additional.Parameters,L6_12,2.23,0.745,2.993,0.003,Categorical.Latent.Variables
New.Additional.Parameters,L7_0,-0.701,0.088,-7.969,0,Categorical.Latent.Variables
New.Additional.Parameters,L7_11,1.146,0.223,5.132,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_0,-0.74,0.257,-2.879,0.004,Categorical.Latent.Variables
New.Additional.Parameters,L8_13,4.199,0.579,7.25,0,Categorical.Latent.Variables
New.Additional.Parameters,L8_14,0.542,0.501,1.081,0.28,Categorical.Latent.Variables
New.Additional.Parameters,L8_234,-0.542,0.501,-1.081,0.28,Categorical.Latent.Variables
New.Additional.Parameters,L9_0,-0.095,0.189,-0.502,0.616,Categorical.Latent.Variables
New.Additional.Parameters,L9_13,2.173,0.25,8.695,0,Categorical.Latent.Variables
New.Additional.Parameters,L10_0,0.28,0.13,2.153,0.031,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.878,0.178,4.925,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-1.066,0.17,-6.282,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.863,0.237,7.869,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_0,-1.213,0.101,-12.021,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_11,0.744,0.2,3.726,0,Categorical.Latent.Variables
New.Additional.Parameters,L13_0,-0.576,0.194,-2.973,0.003,Categorical.Latent.Variables
New.Additional.Parameters,L13_11,2.547,0.94,2.709,0.007,Categorical.Latent.Variables
New.Additional.Parameters,L13_14,5.189,2.082,2.493,0.013,Categorical.Latent.Variables
New.Additional.Parameters,L13_214,3.65,6.321,0.577,0.564,Categorical.Latent.Variables
New.Additional.Parameters,L14_0,-3.61,0.829,-4.354,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_11,3.791,1.283,2.955,0.003,Categorical.Latent.Variables
New.Additional.Parameters,L14_14,3.801,0.841,4.518,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_214,-1.928,1.571,-1.227,0.22,Categorical.Latent.Variables
New.Additional.Parameters,L15_0,-4.539,0.785,-5.782,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_11,4.191,1.069,3.92,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_14,4.193,0.814,5.154,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_214,-2.453,1.136,-2.16,0.031,Categorical.Latent.Variables
New.Additional.Parameters,L16_0,-0.987,0.147,-6.701,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_11,1.363,0.202,6.752,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_14,0.253,0.253,1,0.317,Categorical.Latent.Variables
New.Additional.Parameters,L16_214,-0.253,0.253,-0.999,0.318,Categorical.Latent.Variables
New.Additional.Parameters,L17_0,-1.254,0.11,-11.373,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_11,1.825,0.208,8.791,0,Categorical.Latent.Variables
New.Additional.Parameters,L18_0,-0.77,0.179,-4.311,0,Categorical.Latent.Variables
New.Additional.Parameters,L18_12,0.517,0.38,1.361,0.173,Categorical.Latent.Variables
New.Additional.Parameters,L18_14,0.476,0.281,1.693,0.091,Categorical.Latent.Variables
New.Additional.Parameters,L18_224,-0.041,0.469,-0.088,0.93,Categorical.Latent.Variables
New.Additional.Parameters,L19_0,-2.175,0.346,-6.294,0,Categorical.Latent.Variables
New.Additional.Parameters,L19_11,0.204,1.529,0.133,0.894,Categorical.Latent.Variables
New.Additional.Parameters,L19_12,0.084,1.02,0.083,0.934,Categorical.Latent.Variables
New.Additional.Parameters,L19_212,1.35,1.952,0.692,0.489,Categorical.Latent.Variables
New.Additional.Parameters,L20_0,-2.467,0.37,-6.673,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_12,2.519,0.538,4.684,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_14,1.249,0.497,2.515,0.012,Categorical.Latent.Variables
